,make,model,year,clprice,odometer,paint color,VIN,fullcar,url,kbbprice,profit,profit/clprice
17,GMC,sierra,2000,12.0,190000,green,,2000 gmc sierra,https://sfbay.craigslist.org/eby/cto/d/pittsburg-2000-gmc-custom-hd-26inc/6957527285.html,4016.0,4004.0,333.6666666666667
32,Lexus,RX,2019,853.0,9336,silver,JTJBZMCA6K2038301,2019 Lexus RX,https://sfbay.craigslist.org/eby/ctd/d/concord-2019-lexus-rx-awd-4d-sport/6957539905.html,43384.0,42531.0,49.860492379835875
64,GMC,SIERRA,2018,23338.0,6142,white,1GTN1LEC6JZ900423,2018 GMC SIERRA,https://sfbay.craigslist.org/nby/ctd/d/petaluma-2018-gmc-sierra-1500-reg-cab/6957539526.html,29041.0,5703.0,0.24436541263175937
13,GMC,SIERRA,2018,23338.0,6142,white,1GTN1LEC6JZ900423,2018 GMC SIERRA,https://sfbay.craigslist.org/sby/ctd/d/petaluma-2018-gmc-sierra-1500-reg-cab/6957540335.html,29041.0,5703.0,0.24436541263175937
10,GMC,SIERRA,2018,23196.0,11087,white,1GTN1LEC1JZ250559,2018 GMC SIERRA,https://sfbay.craigslist.org/sby/ctd/d/petaluma-2018-gmc-sierra-1500-reg-cab/6957542740.html,28605.0,5409.0,0.23318675633729954
9,Jeep,Cherokee,2019,16688.0,32398,black,1C4PJLLB9KD184134,2019 Jeep Cherokee,https://sfbay.craigslist.org/nby/ctd/d/napa-2019-jeep-cherokee-latitude-plus/6957536316.html,20435.0,3747.0,0.22453259827420902
22,Acura,MDX,2004,3500.0,140000,green,2HNYD187X4H504520,2004 Acura MDX,https://sfbay.craigslist.org/nby/cto/d/greenbrae-2004-acura-mdx/6957524541.html,3836.0,336.0,0.096
40,toyota,prius v,2013,7500.0,151000,gray,,2013 toyota prius v,https://sfbay.craigslist.org/eby/cto/d/fairfield-2013-toyota-prius/6957527973.html,8164.0,664.0,0.08853333333333334
63,RAM,1500,2016,20775.0,45086,black,3C6JR6AG8GG318213,2016 RAM 1500,https://sfbay.craigslist.org/nby/ctd/d/petaluma-2016-ram-1500-regular-cab-36l/6957542554.html,22543.0,1768.0,0.0851022864019254
5,RAM,1500,2016,20775.0,45086,black,3C6JR6AG8GG318213,2016 RAM 1500,https://sfbay.craigslist.org/sby/ctd/d/petaluma-2016-ram-1500-regular-cab-36l/6957543005.html,22543.0,1768.0,0.0851022864019254
48,Chevrolet,Equinox,2015,6999.0,141532,silver,1GNALAEK4FZ130953,2015 Chevrolet Equinox,https://sfbay.craigslist.org/eby/ctd/d/newark-2015-chevrolet-equinox-1-owner/6957530148.html,7579.0,580.0,0.08286898128304043
23,Hyundai,Kona Se,2019,17999.0,5319,blue,KM8K1CAA3KU275822,2019 Hyundai Kona Se,https://sfbay.craigslist.org/sby/ctd/d/palo-alto-2019-hyundai-kona-se/6957530627.html,19399.0,1400.0,0.0777820990055003
30,nissan,armada,2006,4999.0,156000,blue,,2006 nissan armada,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2006-nissan-armada/6957535735.html,5102.0,103.0,0.020604120824164834
35,GMC,sierra,1999,3700.0,214000,gray,,1999 gmc sierra,https://sfbay.craigslist.org/pen/cto/d/san-carlos-99-gmc-sierra-z71-pickup/6957533202.html,3724.0,24.0,0.006486486486486486
